show_id,type,title,date_added,release_year,rating,duration
s130,TV Show,Growing Up Animal,18-Aug-21,2021,TV-PG,1 Season
s131,Movie,Fantastic Four,13-Aug-21,2005,PG-13,106 min
s132,Movie,X-Men,13-Aug-21,2000,PG-13,105 min
s133,TV Show,America's Funniest Home Videos: Animal Edition,11-Aug-21,2021,TV-PG,1 Season
s134,TV Show,Chicken Squad,11-Aug-21,2021,TV-Y,1 Season
s135,TV Show,Disney Presents Goofy in How to Stay at Home,11-Aug-21,2021,TV-G,1 Season
s136,TV Show,Gabby Duran And The Unsittables,11-Aug-21,2018,TV-G,2 Seasons
s137,TV Show,What If...?,11-Aug-21,2021,TV-14,1 Season
s138,Movie,Beverly Hills Chihuahua 2,6-Aug-21,2011,G,88 min
s139,Movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,6-Aug-21,2012,G,92 min
s140,Movie,Killer Shark vs Killer Whale,6-Aug-21,2021,TV-14,44 min
s141,Movie,Mrs. Doubtfire,6-Aug-21,1993,PG-13,126 min
s142,TV Show,Cesar Millan: Better Human Better Dog,4-Aug-21,2021,TV-14,1 Season
s143,TV Show,Walt Disney Animation Studios: Short Circuit Experimental Films,4-Aug-21,2020,PG,2 Seasons
s144,Movie,Built for Mars: The Perseverance Rover,30-Jul-21,2021,TV-PG,88 min
s145,Movie,Garfield,30-Jul-21,2004,PG,82 min
s146,TV Show,Chip 'n' Dale: Park Life,28-Jul-21,2021,TV-Y7,1 Season
s147,TV Show,Critter Fixers: Country Vets,28-Jul-21,2020,TV-14,2 Seasons
s148,TV Show,Disney Junior T.O.T.S.,28-Jul-21,2018,TV-Y,2 Seasons
s149,TV Show,Mickey Mouse Funhouse,28-Jul-21,2021,TV-Y,1 Season
s150,TV Show,Minnie's Bow-Toons: Party Palace Pals,28-Jul-21,2021,TV-Y7,1 Season
s151,TV Show,Turning the Tables with Robin Roberts,28-Jul-21,2021,TV-PG,1 Season
s152,Movie,Ice Age: The Meltdown,23-Jul-21,2006,PG,94 min
s153,Movie,Playing with Sharks,23-Jul-21,2021,TV-14,91 min
s154,Movie,Shark vs. Surfer,23-Jul-21,2020,TV-14,44 min
s155,Movie,Shark vs. Whale,23-Jul-21,2020,TV-PG,44 min
s156,Movie,Stuntman,23-Jul-21,2021,TV-14,87 min
s157,Movie,Walking with Dinosaurs: The Movie,23-Jul-21,2013,PG,88 min
s158,Movie,What the Shark?,23-Jul-21,2020,TV-PG,44 min
s159,TV Show,Behind the Attraction,21-Jul-21,2021,TV-PG,1 Season
s160,TV Show,Disney The Owl House,21-Jul-21,2020,TV-Y7,2 Seasons
s161,TV Show,Meet Spidey and His Amazing Friends (Shorts),21-Jul-21,2021,TV-Y,1 Season
s162,TV Show,Mission Force One,21-Jul-21,2017,TV-Y,1 Season
s163,TV Show,Turner & Hooch,21-Jul-21,2021,TV-PG,1 Season
s164,Movie,Most Wanted Sharks,16-Jul-21,2020,TV-PG,44 min
s165,Movie,Secrets of the Bull Shark,16-Jul-21,2020,TV-14,44 min
s166,TV Show,Shark Attack Files,16-Jul-21,2021,TV-14,1 Season
s167,Movie,Shark Attack Investigation: The Paige Winter Story,16-Jul-21,2021,TV-14,44 min
s168,Movie,Sharkcano,16-Jul-21,2020,TV-PG,44 min
s169,Movie,We Bought a Zoo,16-Jul-21,2011,PG,125 min
s170,Movie,World's Biggest Bullshark,16-Jul-21,2021,TV-PG,44 min
s171,Movie,World's Most Dangerous Shark?,16-Jul-21,2021,TV-14,44 min
s172,TV Show,So Random!,14-Jul-21,2011,TV-G,1 Season
s173,Movie,Flicka,9-Jul-21,2006,PG,95 min
s174,Movie,"Miraculous World: Shanghai, The Legend of Ladydragon",9-Jul-21,2021,TV-Y7-FV,54 min
s175,Movie,Orca vs. Great White,9-Jul-21,2021,TV-14,44 min
s176,Movie,Rogue Shark?,9-Jul-21,2021,TV-14,44 min
s177,Movie,Shark Beach with Chris Hemsworth,9-Jul-21,2021,TV-PG,44 min
s178,Movie,Shark Gangs,9-Jul-21,2021,TV-14,44 min
s179,Movie,The Croc That Ate Jaws,9-Jul-21,2021,TV-14,44 min
s180,TV Show,When Sharks Attack,9-Jul-21,2013,TV-14,7 Seasons
s181,TV Show,Breaking Bobby Bones,7-Jul-21,2021,TV-14,1 Season
s182,TV Show,Mickey Mouse Mixed-Up Adventures,7-Jul-21,2019,TV-Y,1 Season
s183,TV Show,Monsters at Work,7-Jul-21,2021,TV-G,1 Season
s184,Movie,"The Good, The Bart, and The Loki",7-Jul-21,2021,TV-PG,6 min
s185,TV Show,Disney Raven's Home,2-Jul-21,2016,TV-G,4 Seasons
s186,Movie,The Sandlot,2-Jul-21,1993,PG,101 min
s187,Movie,The Sandlot 2,2-Jul-21,2005,PG,98 min
s188,Movie,Adventures in Babysitting,25-Jun-21,1987,TV-PG,102 min
s189,TV Show,Running Wild with Bear Grylls,25-Jun-21,2019,TV-PG,2 Seasons
s190,TV Show,The Mysterious Benedict Society,25-Jun-21,2021,TV-PG,1 Season
s191,Movie,Wolfgang,25-Jun-21,2021,TV-PG,80 min
s192,TV Show,Dino Ranch,18-Jun-21,2021,TV-Y,1 Season
s193,TV Show,Disney Just Roll With It,18-Jun-21,2018,TV-Y7,2 Seasons
s194,TV Show,"Heartland Docs, DVM",18-Jun-21,2019,TV-14,3 Seasons
s195,Movie,Luca,18-Jun-21,2021,PG,101 min
s196,TV Show,Star Wars Vintage: Droids,18-Jun-21,1985,TV-Y7-FV,2 Seasons
s197,TV Show,Puppy Dog Pals,11-Jun-21,2016,TV-G,4 Seasons
s198,Movie,Strange Magic,11-Jun-21,2015,PG,101 min
